City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nova sintra,14.8667,-24.7167,296.52,78,13,8.84,CV,1699076490
84,vila velha,-20.3297,-40.2925,299.12,78,40,5.14,BR,1699075892
85,edinburgh of the seven seas,-37.0676,-12.3116,284.99,75,98,18.29,SH,1699076339
86,atbasar,51.8,68.3333,282.23,78,100,5.85,KZ,1699076339
87,diawara,15.022,-12.5437,299.51,19,0,2.46,SN,1699076340
88,khandyga,62.6667,135.6,251.56,95,100,1.1,RU,1699076491
89,san luis de la loma,17.2706,-100.8939,298.81,83,15,2.11,MX,1699076492
90,palmer,42.1584,-72.3287,281.49,76,20,3.6,US,1699075701
91,nuku'alofa,-21.1333,-175.2,299.34,89,40,5.66,TO,1699076492
92,susuman,62.7833,148.1667,259.81,93,100,1.79,RU,1699076340
93,montenegro,42.5,19.3,284.85,94,40,2.57,ME,1699076341
94,crane,31.3974,-102.3501,288.06,65,0,5.96,US,1699076493
95,bilibino,68.0546,166.4372,255.58,99,99,1.59,RU,1699076341
96,amga,60.8953,131.9608,254.45,89,100,3.53,RU,1699075909
97,kendari,-3.945,122.4989,304.49,55,68,3.71,ID,1699076342
98,arno,60.1167,18.6333,280.81,96,100,6.63,SE,1699075897
99,irymple,-34.25,142.1667,298.2,26,2,6.5,AU,1699076342
100,tres arroyos,-38.3739,-60.2798,277.98,84,0,2.25,AR,1699076342
101,hawaiian paradise park,19.5933,-154.9731,298.88,82,75,2.06,US,1699076495
102,arvayheer,46.2639,102.775,262.94,65,72,12.61,MN,1699076343
103,thompson,55.7435,-97.8558,265.24,73,100,4.12,CA,1699076343
104,olovyannaya,50.95,115.5667,268.33,52,93,3.34,RU,1699076343
105,lazaro cardenas,17.9583,-102.2,298.57,88,28,2.07,MX,1699076343
106,whitehorse,60.7161,-135.0538,274.83,94,75,5.66,CA,1699076254
107,bull savanna,17.8868,-77.5902,297.66,88,47,4.86,JM,1699076344
108,avarua,-21.2078,-159.775,295.18,64,75,5.66,CK,1699076344
109,meadow lake,34.8014,-106.5436,285.71,35,2,0.42,US,1699076381
110,new norfolk,-42.7826,147.0587,285.87,42,82,1.51,AU,1699075907
111,ushuaia,-54.8,-68.3,274.96,75,0,3.58,AR,1699076344
112,olonkinbyen,70.9221,-8.7187,274.13,82,100,5.9,SJ,1699076345
113,xianyang,34.3378,108.7026,287.73,72,40,1.0,CN,1699076154
114,nakonde,-9.3421,32.745,294.38,65,83,2.63,ZM,1699076345
115,ulaangom,49.9811,92.0667,270.53,33,0,1.61,MN,1699076346
116,kone,-21.0595,164.8658,297.27,68,95,3.21,NC,1699076499
117,nhamunda,-2.1861,-56.7131,299.56,58,56,1.53,BR,1699076346
118,emerald,-23.5333,148.1667,301.71,51,59,4.61,AU,1699076346
119,bethel,41.3712,-73.414,283.46,73,0,2.06,US,1699076346
120,faridpur,23.6,89.8333,303.53,45,2,2.23,BD,1699076347
121,hithadhoo,-0.6,73.0833,300.57,81,100,7.25,MV,1699076500
122,mermoz boabab,14.7065,-17.4758,299.03,94,40,0.0,SN,1699076348
123,fort mcmurray,56.7268,-111.381,270.92,80,100,2.57,CA,1699076214
124,kushiro,42.975,144.3747,284.68,71,75,4.12,JP,1699076348
125,kirakira,-10.4544,161.9205,300.04,86,100,3.61,SB,1699076501
126,fort bragg,35.139,-79.006,281.38,74,0,1.54,US,1699076349
127,yunfu,22.9306,112.0373,303.29,55,65,1.82,CN,1699076349
128,xinyuan,37.3,99.0,273.26,34,6,12.54,CN,1699076349
129,cabo san lucas,22.8909,-109.9124,299.68,74,90,0.45,MX,1699075909
130,ust-nera,64.5667,143.2,257.39,98,99,2.85,RU,1699076502
131,mweka,-4.85,21.5667,296.61,79,94,0.96,CD,1699076350
132,patterson,37.4716,-121.1297,292.62,48,79,1.02,US,1699076350
133,brigantine,39.4101,-74.3646,283.72,90,6,0.89,US,1699076350
134,st. john's,47.5649,-52.7093,277.68,88,100,4.12,CA,1699076372
135,utrik,11.2278,169.8474,301.25,79,92,9.03,MH,1699076503
136,san patricio,28.017,-97.5169,296.94,68,15,3.16,US,1699076503
137,hengyang,26.8881,112.615,295.98,53,70,1.79,CN,1699076351
138,syas'stroy,60.1367,32.5691,275.7,79,77,6.99,RU,1699076351
139,jiquilisco,13.3167,-88.5833,297.21,83,100,3.73,SV,1699076352
140,uturoa,-16.7333,-151.4333,299.05,81,32,8.84,PF,1699076503
141,tyul'gan,52.3405,56.166,277.48,71,2,5.24,RU,1699076352
142,ayabaca,-4.6398,-79.7149,281.14,80,66,1.2,PE,1699076352
143,thinadhoo,0.5333,72.9333,300.8,81,86,7.26,MV,1699076353
144,chonchi,-42.6128,-73.8092,282.1,95,100,1.28,CL,1699076504
145,bardai,11.65,7.2333,294.68,35,98,3.76,NG,1699076353
146,altinopolis,-21.0256,-47.3739,292.79,95,75,1.29,BR,1699076353
147,atafu village,-8.5421,-172.5159,301.64,76,99,6.09,TK,1699076505
148,flying fish cove,-10.4217,105.6791,301.97,78,100,6.69,CX,1699076505
149,tan-tan,28.438,-11.1032,293.29,74,61,7.01,MA,1699076354
150,kununurra,-15.7667,128.7333,314.14,18,26,2.57,AU,1699076355
151,waddan,29.1614,16.139,295.08,26,9,3.58,LY,1699076355
152,alofi,-19.0595,-169.9187,298.09,78,41,6.69,NU,1699076355
153,sos'va,59.1766,61.8558,270.4,71,6,6.26,RU,1699076356
154,coos bay,43.3665,-124.2179,291.11,100,100,4.12,US,1699076356
155,hunstanton,52.95,0.5,279.14,91,90,0.89,GB,1699076356
156,i-n-salah,27.1935,2.4607,297.09,16,0,2.13,DZ,1699076357
157,necochea,-38.5473,-58.7368,279.68,87,0,2.92,AR,1699076357
158,juneau,58.3019,-134.4197,280.15,95,100,0.0,US,1699076258
159,kenai,60.5544,-151.2583,277.12,93,100,3.09,US,1699076358
160,keflavik,64.0049,-22.5624,277.39,81,0,6.17,IS,1699076358
161,dhuusamarreeb,5.535,46.3861,301.36,66,95,3.69,SO,1699076358
162,antofagasta,-23.65,-70.4,289.75,85,43,1.73,CL,1699076049
163,gisborne,-38.6533,178.0042,292.75,55,10,5.31,NZ,1699076359
164,rio grande,-32.035,-52.0986,285.9,78,99,13.4,BR,1699076508
165,el matama,16.7095,33.3565,304.11,44,48,4.74,SD,1699076508
166,shwebo,22.5667,95.7,303.54,58,1,1.75,MM,1699076189
167,lompoc,34.6391,-120.4579,287.23,75,0,1.54,US,1699076508
168,canton,23.1167,113.25,305.12,43,66,2.75,CN,1699076302
169,balsas,-7.5325,-46.0356,298.21,72,35,0.84,BR,1699076360
170,aykhal,66.0,111.5,252.42,98,8,2.5,RU,1699076360
171,chui,-33.6971,-53.4616,285.45,75,99,9.87,UY,1699076509
172,east london,-33.0153,27.9116,291.67,88,100,6.53,ZA,1699076509
173,kindu,-2.95,25.95,294.92,96,98,0.54,CD,1699076361
174,mount isa,-20.7333,139.5,312.02,10,2,3.09,AU,1699076510
175,mandalgovi,45.7625,106.2708,275.81,20,84,10.38,MN,1699076362
176,huntingdon,52.3305,-0.1865,279.22,90,97,2.24,GB,1699076362
177,vytegra,61.0064,36.4481,271.13,88,100,1.79,RU,1699076362
178,chumphon,10.3333,98.8333,302.29,71,87,1.32,TH,1699076362
179,redencao,-4.2258,-38.7306,296.85,95,31,0.89,BR,1699076363
180,hirara,24.8,125.2833,302.3,61,40,6.69,JP,1699076363
181,nkhotakota,-12.9274,34.2961,298.49,57,77,6.61,MW,1699076363
182,alo,7.4178,6.7371,297.2,95,99,1.42,NG,1699076511
183,la'ie,21.6477,-157.9253,299.13,75,7,3.13,US,1699076511
184,vilyuchinsk,52.9306,158.4028,278.11,89,100,3.1,RU,1699076511
185,baxter,46.3433,-94.2867,269.31,90,0,1.54,US,1699076364
186,quellon,-43.1167,-73.6167,282.17,88,100,4.11,CL,1699076364
187,labytnangi,66.6572,66.4183,268.6,85,100,5.84,RU,1699076214
188,mount gambier,-37.8333,140.7667,287.51,52,5,6.43,AU,1699076512
189,tra mhor,52.1624,-7.1524,282.09,73,100,4.02,IE,1699076365
190,kiunga,-6.1219,141.2906,300.95,90,88,1.75,PG,1699076365
191,illizi,26.4833,8.4667,289.04,17,0,1.6,DZ,1699076365
